data,grupo,valor
2025-06-01,1.Alimentação e bebidas,-0.19
2025-06-01,2.Habitação,1.05
2025-06-01,3.Artigos de residência,0.09
2025-06-01,4.Vestuário,0.74
2025-06-01,5.Transportes,0.28
2025-06-01,6.Saúde e cuidados pessoais,-0.17
2025-06-01,7.Despesas pessoais,0.23
2025-06-01,8.Educação,0
2025-06-01,9.Comunicação,0.11
2025-07-01,1.Alimentação e bebidas,-0.38
2025-07-01,2.Habitação,0.86
2025-07-01,3.Artigos de residência,0.14
2025-07-01,4.Vestuário,-0.52
2025-07-01,5.Transportes,0.19
2025-07-01,6.Saúde e cuidados pessoais,0.57
2025-07-01,7.Despesas pessoais,0.97
2025-07-01,8.Educação,0.06
2025-07-01,9.Comunicação,-0.11
2025-08-01,1.Alimentação e bebidas,-0.54
2025-08-01,2.Habitação,-1.04
2025-08-01,3.Artigos de residência,-0.07
2025-08-01,4.Vestuário,0.77
2025-08-01,5.Transportes,-0.25
2025-08-01,6.Saúde e cuidados pessoais,0.53
2025-08-01,7.Despesas pessoais,0.31
2025-08-01,8.Educação,0.7
2025-08-01,9.Comunicação,-0.16
2025-09-01,1.Alimentação e bebidas,-0.33
2025-09-01,2.Habitação,3.28
2025-09-01,3.Artigos de residência,-0.45
2025-09-01,4.Vestuário,0.6
2025-09-01,5.Transportes,0.02
2025-09-01,6.Saúde e cuidados pessoais,0.03
2025-09-01,7.Despesas pessoais,0.33
2025-09-01,8.Educação,0.08
2025-09-01,9.Comunicação,-0.22
2025-10-01,1.Alimentação e bebidas,0
2025-10-01,2.Habitação,-0.32
2025-10-01,3.Artigos de residência,-0.31
2025-10-01,4.Vestuário,0.47
2025-10-01,5.Transportes,0.05
2025-10-01,6.Saúde e cuidados pessoais,0.45
2025-10-01,7.Despesas pessoais,0.33
2025-10-01,8.Educação,0.06
2025-10-01,9.Comunicação,-0.26
2025-11-01,1.Alimentação e bebidas,-0.06
2025-11-01,2.Habitação,0.51
2025-11-01,3.Artigos de residência,-1.11
2025-11-01,4.Vestuário,0.44
2025-11-01,5.Transportes,-0.07
2025-11-01,6.Saúde e cuidados pessoais,-0.32
2025-11-01,7.Despesas pessoais,0.51
2025-11-01,8.Educação,-0.01
2025-11-01,9.Comunicação,-0.24
2025-12-01,1.Alimentação e bebidas,0.28
2025-12-01,2.Habitação,-0.5
2025-12-01,3.Artigos de residência,0.7
2025-12-01,4.Vestuário,0.53
2025-12-01,5.Transportes,0.23
2025-12-01,6.Saúde e cuidados pessoais,0.48
2025-12-01,7.Despesas pessoais,0.55
2025-12-01,8.Educação,0.06
2025-12-01,9.Comunicação,0.45
2026-01-01,1.Alimentação e bebidas,0.14
2026-01-01,2.Habitação,-0.19
2026-01-01,3.Artigos de residência,0.27
2026-01-01,4.Vestuário,-0.46
2026-01-01,5.Transportes,1.18
2026-01-01,6.Saúde e cuidados pessoais,0.84
2026-01-01,7.Despesas pessoais,0.46
2026-01-01,8.Educação,-0.02
2026-01-01,9.Comunicação,0.91
2026-02-01,1.Alimentação e bebidas,0.26
2026-02-01,2.Habitação,0.35
2026-02-01,3.Artigos de residência,0.16
2026-02-01,4.Vestuário,0.07
2026-02-01,5.Transportes,0.44
2026-02-01,6.Saúde e cuidados pessoais,0.7
2026-02-01,7.Despesas pessoais,0.32
